# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Aug  7 13:50:02 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and disc_facility like '%TESS%',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_orbsmaxstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_radestr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_massestr not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN default_flag:   Default Parameter Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_refname:     Planetary Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ttv_flag:       Data show Transit Timing Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr1:    Distance [pc] Upper Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr2:    Distance [pc] Lower Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,default_flag,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
HD 260655 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,5.70588,0.00007,-0.00007,0,0.04749,0.00039,-0.00039,0,1.533,0.051,-0.046,0,3.09,0.48,-0.48,0,0.038,0.036,-0.022,0,0,0.44,0,0,0,0.44,0.01,-0.01,0,10.0055,0.00505,-0.00505
HD 2685 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=JONES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..16J/abstract target=ref>Jones et al. 2019</a>,4.12688,0.00005,-0.00004,0,0.0568,0.0006,-0.0006,0,16.141,0.56,-0.56,0,371.8611,38.1396,-38.1396,0,0.091,0.039,-0.047,0,0,1.56,0.05,-0.05,0,1.43,0.05,-0.04,0,196.852,0.777,-0.771
HD 28109 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,22.89104,0.00035,-0.00036,0,0.1357,0.0034,-0.0034,0,2.199,0.098,-0.1,0,18.496,9.12,-7.609,0,0.3307,,,1,0,1.45,0.04,-0.04,0,1.26,0.08,-0.08,0,139.611,0.429,-0.427
HD 28109 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,56.00819,0.00194,-0.00202,0,0.308,0.011,-0.011,0,4.23,0.11,-0.11,0,7.943,4.227,-3.046,0,0.1203,,,1,1,1.45,0.04,-0.04,0,1.26,0.08,-0.08,0,139.611,0.429,-0.427
HD 28109 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,84.25999,0.00744,-0.00662,0,0.411,0.016,-0.016,0,3.25,0.11,-0.11,0,5.681,2.738,-2.11,0,0.0864,,,1,1,1.45,0.04,-0.04,0,1.26,0.08,-0.08,0,139.611,0.429,-0.427
HD 332231 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DALBA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..241D/abstract target=ref>Dalba et al. 2020</a>,18.71204,0.00043,-0.00043,0,0.1436,0.0032,-0.0033,0,9.718,0.303,-0.28,0,77.55052,6.67443,-6.67443,0,0.032,0.03,-0.022,0,0,1.28,0.04,-0.04,0,1.13,0.08,-0.08,0,80.6665,0.1917,-0.1908
HD 5278 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SOZZETTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..75S/abstract target=ref>Sozzetti et al. 2021</a>,14.339156,0.000049,-0.000047,0,0.1202,0.0013,-0.0013,0,2.45,0.05,-0.05,0,7.8,1.5,-1.4,0,0.08,0.09,-0.05,0,0,1.19,0.02,-0.02,0,1.13,0.04,-0.04,0,57.5846,0.0947,-0.0943
HD 73583 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,6.398042,0.0000067,-0.0000062,0,0.0604,0.0027,-0.0026,0,2.79,0.1,-0.1,0,10.2,3.4,-3.1,0,0.09,0.09,-0.06,0,0,0.65,0.02,-0.02,0,0.73,0.02,-0.02,0,31.5666,0.0321,-0.032
HD 73583 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,18.87974,0.00086,-0.00074,0,0.1242,0.0055,-0.0054,0,2.39,0.1,-0.09,0,9.7,1.8,-1.7,0,0.08,0.11,-0.06,0,0,0.65,0.02,-0.02,0,0.73,0.02,-0.02,0,31.5666,0.0321,-0.032
HD 86226 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=TESKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...96T/abstract target=ref>Teske et al. 2020</a>,3.98442,0.00018,-0.00018,0,0.049,0.001,-0.001,0,2.16,0.08,-0.08,0,7.25,1.19,-1.12,0,0.075,0.065,-0.048,0,0,1.05,0.03,-0.03,0,1.02,0.06,-0.07,0,45.683,0.1053,-0.1048
HD 93963 A b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220713920S/abstract target=ref>Serrano et al. 2022</a>,1.0391353,0.0000049,-0.0000049,0,0.02085,0.00037,-0.00037,0,1.35,0.042,-0.042,0,7.8,3.2,-3.2,0,,,,,0,1.04,0.01,-0.01,0,1.11,0.04,-0.04,0,82.3432,0.3932,-0.3896
HD 93963 A c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220713920S/abstract target=ref>Serrano et al. 2022</a>,3.6451398,0.0000106,-0.0000142,0,0.04813,0.00085,-0.00085,0,3.228,0.059,-0.059,0,19.2,4.1,-4.1,0,,,,,0,1.04,0.01,-0.01,0,1.11,0.04,-0.04,0,82.3432,0.3932,-0.3896
HIP 65 A b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,0.9809734,0.0000031,-0.0000031,0,0.01782,0.0002,-0.00021,0,22.754,6.837,-5.492,0,1021.18779,24.79074,-24.79074,0,0,,,0,0,0.72,0.01,-0.01,0,0.78,0.03,-0.03,0,61.7856,0.0806,-0.0804
HIP 94235 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ZHOU_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411975Z/abstract target=ref>Zhou et al. 2022</a>,7.713057,0.000021,-0.000021,0,0.0787,0.00056,-0.00017,0,3,0.32,-0.28,0,379,,,1,0.32,0.2,-0.2,0,0,1.08,0.11,-0.1,0,1.09,0.02,-0.01,0,58.5146,0.1263,-0.1258
HIP 9618 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=OSBORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3069O/abstract target=ref>Osborn et al. 2023</a>,20.772907,0.000023,-0.000023,0,0.1438,0.0025,-0.0037,0,3.9,0.044,-0.044,0,10,3.1,-3.1,0,0.22,0.25,-0.15,0,0,0.97,0.01,-0.01,0,1.02,0.04,-0.08,0,67.5478,0.1566,-0.1559
HIP 9618 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=OSBORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3069O/abstract target=ref>Osborn et al. 2023</a>,52.563491,0.000072,-0.000072,0,0.2669,0.0046,-0.0069,0,3.343,0.039,-0.039,0,18.3,1.7,-1.7,1,0.23,0.25,-0.16,0,0,0.97,0.01,-0.01,0,1.02,0.04,-0.08,0,67.5478,0.1566,-0.1559
HIP 97166 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MACDOUGALL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..265M/abstract target=ref>MacDougall et al. 2021</a>,10.28891,0.00004,-0.00004,0,0.089,0.001,-0.001,0,2.74,0.13,-0.13,0,20,1.5,-1.5,0,0.16,0.03,-0.03,0,0,0.84,0.04,-0.04,0,0.9,0.05,-0.05,0,65.9501,0.1014,-0.1012
L 168-9 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ASTUDILLO_DEFRU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..58A/abstract target=ref>Astudillo-Defru et al. 2020</a>,1.4015,0.00018,-0.00018,0,0.02091,0.00024,-0.00024,0,1.39,0.09,-0.09,0,4.6,0.56,-0.56,0,0.21,,,1,0,0.6,0.02,-0.02,0,0.62,0.03,-0.03,0,25.1496,0.0239,-0.0239
L 98-59 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,2.2531136,0.0000012,-0.0000015,0,0.02191,0.0008,-0.00084,0,0.85,0.061,-0.047,0,0.4,0.16,-0.15,0,0.103,0.117,-0.045,0,0,0.3,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194,0.0032,-0.0032
LHS 1478 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SOTO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.144S/abstract target=ref>Soto et al. 2021</a>,1.9495378,0.000004,-0.0000041,0,0.01848,0.00061,-0.00063,0,1.242,0.051,-0.049,0,2.33,0.2,-0.2,0,,,,,0,0.25,0.01,-0.01,0,0.24,0.01,-0.01,0,18.2276,0.011,-0.011
LHS 1678 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,0.8602322,0.0000068,-0.0000068,0,0.01251,0.00059,-0.00056,0,0.696,0.044,-0.044,0,0.35,,,1,0.25,,,1,0,0.33,0.01,-0.01,0,0.34,0.01,-0.01,0,19.8782,0.0094,-0.0094
LHS 1678 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,3.694247,0.0000024,-0.0000021,0,0.0331,0.0016,-0.0015,0,0.982,0.064,-0.063,0,1.4,,,1,0.22,,,1,0,0.33,0.01,-0.01,0,0.34,0.01,-0.01,0,19.8782,0.0094,-0.0094
LP 714-47 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A.127D/abstract target=ref>Dreizler et al. 2020</a>,4.052037,0.000004,-0.000004,0,0.0417,0.0005,-0.0005,0,4.7,0.3,-0.3,0,30.8,1.5,-1.5,0,0.04,0.02,-0.02,0,0,0.58,0.02,-0.02,0,0.59,0.02,-0.02,0,52.616,0.11525,-0.11525
LP 791-18 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,4.9899093,0.0000074,-0.0000072,0,0.02961,0.00035,-0.00036,0,2.438,0.096,-0.096,0,7.1,0.7,-0.7,0,0.00008,0.00004,-0.00004,0,0,0.18,0.01,-0.01,0,0.14,0.01,-0.01,0,26.4927,0.064,-0.0638
LP 890-9 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,2.7299025,0.0000034,-0.000004,0,0.01875,0.0001,-0.0001,0,1.32,0.053,-0.027,0,13.2,,,1,,,,,0,0.16,0.01,-0.01,0,0.12,0,0,0,32.4298,0.0702,-0.0699
LTT 1445 A b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,5.3587657,0.0000043,-0.0000042,0,0.03813,0.00068,-0.0007,0,1.305,0.066,-0.061,0,2.87,0.26,-0.25,0,0.11,,,1,0,0.27,0.01,-0.01,0,0.26,0.01,-0.01,0,6.86929,0.003805,-0.003805
LTT 1445 A c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,3.1239035,0.0000034,-0.0000036,0,0.02661,0.00047,-0.00049,0,1.147,0.055,-0.054,0,1.54,0.2,-0.19,0,0.223,,,1,0,0.27,0.01,-0.01,0,0.26,0.01,-0.01,0,6.86929,0.003805,-0.003805
LTT 9779 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,0.792052,0.0000093,-0.0000093,0,0.01679,0.00014,-0.00012,0,4.72,0.23,-0.23,0,29.32,0.78,-0.81,0,0,,,0,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0,80.4373,0.3174,-0.315
NGTS-11 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,35.45533,0.00019,-0.00019,0,0.201,0.0021,-0.0022,0,9.158,0.314,-0.359,0,109.33352,29.24036,-23.20159,0,0.13,0.1,-0.09,0,0,0.83,0.01,-0.01,0,0.86,0.03,-0.03,0,190.422,1.777,-1.744
NGTS-20 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>,54.18915,0.00015,-0.00015,0,0.313,0.013,-0.013,0,11.994,0.448,-0.448,0,947.12865,50.85255,-47.67426,0,0.432,0.023,-0.023,0,0,1.78,0.05,-0.05,0,1.47,0.09,-0.09,0,382.898,7.433,-7.159
TIC 172900988 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KOSTOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..234K/abstract target=ref>Kostov et al. 2021</a>,200.452,0.011,-0.011,0,0.90281,0.00016,-0.00016,0,11.25,0.44,-0.44,0,942,5.6,-5.6,0,0.0271,0.0011,-0.0011,0,0,1.38,0,0,0,1.24,0,0,0,250.956,3.254,-3.172
TIC 237913194 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SCHLECKER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..275S/abstract target=ref>Schlecker et al. 2020</a>,15.168865,0.000018,-0.000018,0,0.1207,0.0037,-0.0037,0,12.52,0.605,-0.527,0,617.22586,29.24036,-28.92253,0,0.575,0.011,-0.011,0,0,1.09,0.01,-0.01,0,1.03,0.06,-0.06,0,306.063,2.051,-2.025
TIC 257060897 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MONTALTO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.2908M/abstract target=ref>Montalto et al. 2022</a>,3.660028,0.000006,-0.000006,0,0.051,0.002,-0.002,0,16.701,0.448,-0.448,0,212.94503,9.53485,-9.53485,0,0.03,0.02,-0.02,0,0,1.82,0.05,-0.05,0,1.32,0.04,-0.04,0,505.703,5.126,-5.025
TIC 279401253 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BOZHILOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230210838B/abstract target=ref>Bozhilov et al. 2023</a>,76.8,0.06,-0.06,0,0.369,0.003,-0.003,0,11.209,0.448,-0.448,0,1951.46642,123.95308,-133.48793,0,0.448,0.029,-0.028,0,0,1.06,0.01,-0.01,0,1.13,0.02,-0.03,0,285.584,2.79,-2.738
TOI-1062 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>,4.11296,0.0015,-0.0015,0,0.052,0.024,-0.025,0,2.265,0.096,-0.091,0,10.15,0.81,-0.84,0,0.177,0.067,-0.064,0,0,0.84,0.09,-0.09,0,0.94,0.02,-0.02,0,82.1733,0.1635,-0.1629
TOI-1064 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>,6.443868,0.000025,-0.000025,0,0.06152,0.00086,-0.00089,0,2.587,0.043,-0.042,0,13.5,1.7,-1.8,0,0.047,0.038,-0.03,0,0,0.73,0.01,-0.01,0,0.75,0.03,-0.03,0,68.0726,0.3639,-0.3601
TOI-1064 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=WILSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp..107W/abstract target=ref>Wilson et al. 2022</a>,12.226574,0.000046,-0.000043,0,0.09429,0.00132,-0.00136,0,2.651,0.043,-0.042,0,2.5,1.8,-2,0,0.088,0.081,-0.064,0,0,0.73,0.01,-0.01,0,0.75,0.03,-0.03,0,68.0726,0.3639,-0.3601
TOI-1075 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ESSACK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221014901E/abstract target=ref>Essack et al. 2022</a>,0.6047328,0.0000032,-0.0000032,0,0.01159,0.00023,-0.0002,0,1.791,0.116,-0.081,0,9.95,1.36,-1.3,0,0,,,0,0,0.58,0.02,-0.02,0,0.6,0.03,-0.03,0,61.4592,0.09435,-0.09435
TOI-1107 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=PSARIDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510854P/abstract target=ref>Psaridi et al. 2022</a>,4.0782387,0.0000024,-0.0000025,0,0.0561,0.0024,-0.0025,0,14.572,0.56,-0.56,0,1064.72516,57.20911,-57.20911,0,0.025,0.023,-0.016,0,0,1.81,0.06,-0.06,0,1.35,0.08,-0.08,0,281.314,2.031,-2.003
TOI-1130 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,8.350381,0.000032,-0.000033,0,0.07098,0.00056,-0.0006,0,16.814,3.026,-2.466,0,309.56642,13.66669,-13.98452,0,0.047,0.04,-0.027,0,0,0.69,0.01,-0.01,0,0.68,0.02,-0.02,0,58.2609,0.17,-0.1691
TOI-1201 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>,2.4919863,0.000003,-0.0000031,0,0.0287,0.0012,-0.0012,0,2.415,0.091,-0.09,0,6.28,0.84,-0.88,0,0,,,0,0,0.51,0.02,-0.02,0,0.51,0.02,-0.02,0,37.8871,0.0516,-0.0516
TOI-1221 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,91.68278,0.00032,-0.00041,0,0.387,0.026,-0.023,0,2.91,0.13,-0.12,0,1112.39942,,,1,0.21,,,1,1,1.03,0.02,-0.02,0,0.93,0.22,-0.22,0,138.411,0.387,-0.386
TOI-1231 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,24.245586,0.000064,-0.000066,0,0.1288,0.0021,-0.0022,0,3.65,0.16,-0.15,0,15.4,3.3,-3.3,0,0.087,0.12,-0.061,0,0,0.48,0.01,-0.01,0,0.48,0.02,-0.02,0,27.6227,0.0609,-0.0609
TOI-1246 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,4.30744,0.00002,-0.00002,0,0.049,0.002,-0.002,0,3.01,0.06,-0.06,0,8.1,1.1,-1.1,0,,,,,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,169.422,0.673,-0.669
TOI-1246 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,5.904144,0.000083,-0.000083,0,0.061,0.002,-0.002,0,2.51,0.08,-0.08,0,8.8,1.2,-1.2,0,,,,,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,169.422,0.673,-0.669
